model_name,condition,column,manual,recomputed,abs_diff
CP_REPO_OPS_R,entry_without_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,high_within_block_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,inflection_points,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,older_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,recent_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,same_average_back_loaded,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,same_average_different_path,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,stable_low_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,all_observations,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,cluster_entry_loose,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,cluster_entry_strict,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,cluster_exit_loose,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,cluster_exit_strict,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,entry_with_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,entry_without_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,high_within_block_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,inflection_points,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,older_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,recent_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,same_average_back_loaded,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,same_average_different_path,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
CP_REPO_RECENT_SLOPE,stable_low_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,all_observations,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,cluster_entry_loose,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,cluster_entry_strict,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,cluster_exit_loose,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,cluster_exit_strict,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,entry_with_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,entry_without_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,high_within_block_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,inflection_points,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,older_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,recent_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,same_average_back_loaded,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,same_average_different_path,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_C,stable_low_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,all_observations,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,cluster_entry_loose,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,cluster_entry_strict,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,cluster_exit_loose,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,cluster_exit_strict,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,entry_with_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,entry_without_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,high_within_block_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,inflection_points,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,older_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,recent_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,same_average_back_loaded,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,same_average_different_path,n_assets,1.0,10.0,9.0
