model_name,condition,loss_variant,loss_metric,n_obs_total,n_assets,pooled_cp_loss,pooled_model_loss,pooled_advantage_cp_minus_model,assets_positive
HAR_RV,recent_spike_position,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,87314,10,73.3008461151611,73.93196179284344,-0.6311156776823665,4
HAR_RV,recent_spike_position,high_vol_actual_top_asset_quintile,SMAPE,25722,10,76.6380234808837,79.28356345563195,-2.645539974748247,1
HAR_RV,recent_spike_position,high_vol_actual_top_asset_quintile,MAE,25722,10,0.001452031572854508,0.0014873679171065936,-3.533634425208573e-05,1
HAR_RV,recent_spike_position,high_vol_actual_top_asset_quintile,MSE,25722,10,9.030757734515109e-06,9.239392200375408e-06,-2.0863446586030194e-07,2
HAR_RV,recent_spike_position,high_vol_actual_top_asset_quintile,RMSE,25722,10,0.0028174996687170364,0.00284824815437895,-3.074848566191326e-05,2
HAR_RV,recent_spike_position,high_vol_actual_top_asset_quintile,QLIKE,25722,10,730283.7780196941,1.3626236292859326,730282.4153960646,5
HAR_RV,recent_spike_position,high_vol_actual_top_asset_quintile,log_RV_MAE,25722,10,0.8980758793102885,0.9139526968887153,-0.01587681757842679,1
HAR_RV,recent_spike_position,high_vol_actual_top_asset_quintile,log_RV_MSE,25722,10,1.3696668123426177,1.2097339538963694,0.1599328584462482,4
HAR_RV,recent_spike_position,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,25722,10,76.58265438950966,79.23424828947213,-2.6515938999624606,1
HAR_RV,cluster_exit_loose,standard,SMAPE,73455,10,97.78270322300334,99.11339154272541,-1.3306883197220505,0
HAR_RV,cluster_exit_loose,standard,MAE,73455,10,0.0006171643472766639,0.0006335651434434822,-1.640079616681821e-05,1
HAR_RV,cluster_exit_loose,standard,MSE,73455,10,2.753487709512812e-06,2.830263506622494e-06,-7.677579710968176e-08,0
HAR_RV,cluster_exit_loose,standard,RMSE,73455,10,0.0015378243777010383,0.0015592395042616067,-2.141512656056839e-05,0
HAR_RV,cluster_exit_loose,standard,QLIKE,73455,10,319713.10949986114,4.395407249210429,319708.7140926119,7
HAR_RV,cluster_exit_loose,standard,log_RV_MAE,73455,10,4.775102499739926,4.794855394283927,-0.019752894544000765,2
HAR_RV,cluster_exit_loose,standard,log_RV_MSE,73455,10,82.09800802784856,82.42606249775683,-0.3280544699082586,3
HAR_RV,cluster_exit_loose,standard,winsorized_SMAPE_1_99,73455,10,97.79101156573374,99.12206176217133,-1.3310501964376131,0
HAR_RV,cluster_exit_loose,excluding_near_zero_actual_bottom_asset_decile,SMAPE,57273,10,69.26376081385803,70.93428835605445,-1.6705275421964236,0
HAR_RV,cluster_exit_loose,excluding_near_zero_actual_bottom_asset_decile,MAE,57273,10,0.0006611789070950663,0.0006739084317506526,-1.2729524655586035e-05,0
HAR_RV,cluster_exit_loose,excluding_near_zero_actual_bottom_asset_decile,MSE,57273,10,3.4480117172837792e-06,3.5389516879433665e-06,-9.093997065958742e-08,0
HAR_RV,cluster_exit_loose,excluding_near_zero_actual_bottom_asset_decile,RMSE,57273,10,0.001751674473370489,0.0017756546974396256,-2.3980224069136327e-05,0
HAR_RV,cluster_exit_loose,excluding_near_zero_actual_bottom_asset_decile,QLIKE,57273,10,409447.8060087569,0.6038133730756714,409447.2021953838,7
HAR_RV,cluster_exit_loose,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,57273,10,0.8285547380337411,0.8344449313955036,-0.005890193361762625,3
HAR_RV,cluster_exit_loose,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,57273,10,1.468738852648666,1.1980998533288405,0.2706389993198253,8
HAR_RV,cluster_exit_loose,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,57273,10,69.19739766691099,70.87106707760215,-1.6736694106911487,0
HAR_RV,cluster_exit_loose,high_vol_actual_top_asset_quintile,SMAPE,17006,10,68.55587459894774,76.01859490873771,-7.4627203097899715,0
HAR_RV,cluster_exit_loose,high_vol_actual_top_asset_quintile,MAE,17006,10,0.0013369827883075297,0.001415162895852067,-7.818010754453705e-05,0
HAR_RV,cluster_exit_loose,high_vol_actual_top_asset_quintile,MSE,17006,10,1.0979860152382522e-05,1.1374259601698248e-05,-3.9439944931572867e-07,0
HAR_RV,cluster_exit_loose,high_vol_actual_top_asset_quintile,RMSE,17006,10,0.003040599559541557,0.0030965441673872526,-5.594460784569546e-05,0
HAR_RV,cluster_exit_loose,high_vol_actual_top_asset_quintile,QLIKE,17006,10,263331.26459515106,1.1753552278707795,263330.08923992317,2
HAR_RV,cluster_exit_loose,high_vol_actual_top_asset_quintile,log_RV_MAE,17006,10,0.779457159228256,0.8662281160368914,-0.08677095680863536,0
HAR_RV,cluster_exit_loose,high_vol_actual_top_asset_quintile,log_RV_MSE,17006,10,0.9978065877696454,1.086881824204732,-0.0890752364350868,2
HAR_RV,cluster_exit_loose,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,17006,10,68.5145672335015,75.9922630803416,-7.477695846840091,0
HAR_RV,older_spike_position,standard,SMAPE,108871,10,97.43444156272851,99.20825817609439,-1.7738166133658597,1
HAR_RV,older_spike_position,standard,MAE,108871,10,0.0005701423444708852,0.0005931944034965196,-2.305205902563437e-05,1
HAR_RV,older_spike_position,standard,MSE,108871,10,2.325430719071407e-06,2.3852402778413213e-06,-5.980955876991469e-08,0
HAR_RV,older_spike_position,standard,RMSE,108871,10,0.001426511603214955,0.0014448702359141203,-1.835863269916514e-05,0
HAR_RV,older_spike_position,standard,QLIKE,108871,10,310676.42338787334,4.311515682714009,310672.11187219055,8
HAR_RV,older_spike_position,standard,log_RV_MAE,108871,10,4.699872146442731,4.732200298736644,-0.03232815229391323,1
HAR_RV,older_spike_position,standard,log_RV_MSE,108871,10,80.56611779435829,81.10873115023266,-0.5426133558743604,1
HAR_RV,older_spike_position,standard,winsorized_SMAPE_1_99,108871,10,97.44221425187749,99.21690053584783,-1.7746862839703357,1
HAR_RV,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,SMAPE,85180,10,69.3545856504564,71.56341045107756,-2.2088248006211857,1
