asset,model_name,strategy,coverage,n_active,mean_advantage_active_rows,mean_advantage_overall,win_rate_overall,false_positive_loss_mean_active_negative_advantage_abs,false_negative_cost_mean_inactive_positive_advantage
EEM,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,0.11837556819728354,4349,-1.0116258106127236,-0.11975178013431871,0.035793026484117696,5.877031539588038,3.3924636260106737
EEM,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,0.19995100574321564,7346,-0.600292903820303,-0.12002916985938501,0.06429135251367757,5.143773385984085,3.329764088450944
EEM,CP_REPO_OPS_C,top_5pct_gate,0.050001360951577346,1837,-0.2062967971288839,-0.010315120616395645,0.011404774218133318,4.991751913270394,5.307207760863986
EEM,CP_REPO_OPS_C,top_10pct_gate,0.10000272190315469,3674,-0.15211021281754297,-0.015211435311022424,0.020142083344674596,3.692826975690397,5.402902588878762
EEM,CP_REPO_OPS_C,top_20pct_gate,0.20000544380630939,7348,-0.1696660094164496,-0.03393412551218247,0.0547102534091837,4.3765475524759045,5.511797966558693
EEM,CP_REPO_OPS_C,top_30pct_gate,0.30000816570946404,11022,-0.12373575393090645,-0.03712173656948885,0.09360624948964316,4.66486591062865,5.585882962525782
EEM,CP_REPO_OPS_C,condition_entry_with_recent_spike,0.11837556819728354,4349,-0.51553689518767,-0.061026972894503866,0.038487710607256594,7.084574711528652,5.116075817946622
EEM,CP_REPO_OPS_C,condition_cluster_entry_loose,0.19995100574321564,7346,-0.34341989389182,-0.06866715317589782,0.06777538855167534,7.00509466244367,4.983551324822692
EEM,CP_REPO_GATED_RIDGE_OPS_C,top_5pct_gate,0.050001360951577346,1837,-0.193276962372228,-0.009664111159198205,0.011758621628242467,5.4642342642917825,6.07334556487616
EEM,CP_REPO_GATED_RIDGE_OPS_C,top_10pct_gate,0.10000272190315469,3674,-0.2651812193349276,-0.026518843731090227,0.020577587849424317,4.9264207481126485,6.158519654057963
EEM,CP_REPO_GATED_RIDGE_OPS_C,top_20pct_gate,0.20000544380630939,7348,-0.16742490814852895,-0.033485893058477115,0.05677889980674487,8.173716078136955,5.558552976230259
