asset,challenger_model,strategy,gate_type,selected_coverage,selected_threshold,validation_score,validation_fraction,uses_future_outcomes_for_threshold,uses_full_evaluation_scores_for_threshold
AMZN,RAW_CP_REPO_PLUS_PM,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.00031011864276759996,-0.3417128099959626,0.25,False,False
AMZN,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AMZN,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,condition_label,0.12015577766279038,,,0.0,False,False
AMZN,CP_REPO_OPS_HG,top_5pct,perturbation_magnitude,0.05,0.00036846199112795997,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00036846199112795997,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_10pct,perturbation_magnitude,0.1,0.0002594397924529406,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0002594397924529406,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_20pct,perturbation_magnitude,0.2,0.00016050434926616003,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.00016050434926616003,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_30pct,perturbation_magnitude,0.3,0.00011090832870341991,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,0.00011090832870341991,,0.0,False,True
AMZN,CP_REPO_OPS_HG,validation_selected,prefix_validation_perturbation_magnitude,0.2,0.00015402044343127997,-0.017188476248813638,0.25,False,False
AMZN,CP_REPO_OPS_HG,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AMZN,CP_REPO_OPS_HG,condition_entry_with_recent_spike,condition_label,0.12015577766279038,,,0.0,False,False
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_5pct,perturbation_magnitude,0.05,0.00030008123913305993,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00030008123913305993,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_10pct,perturbation_magnitude,0.1,0.00020575296675449996,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00020575296675449996,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_20pct,perturbation_magnitude,0.2,0.00012851079873842002,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.00012851079873842002,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_30pct,perturbation_magnitude,0.3,8.916088941735996e-05,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,8.916088941735996e-05,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.00026791905462867033,-0.05112123587712364,0.25,False,False
AMZN,CP_REPO_GATED_RIDGE_OPS_C,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AMZN,CP_REPO_GATED_RIDGE_OPS_C,condition_entry_with_recent_spike,condition_label,0.12015577766279038,,,0.0,False,False
AMZN,CP_REPO_RECENT_SLOPE,top_5pct,perturbation_magnitude,0.05,0.00014650168375092995,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00014650168375092995,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_10pct,perturbation_magnitude,0.1,0.00011994114495122001,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00011994114495122001,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_20pct,perturbation_magnitude,0.2,9.418654268837996e-05,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,9.418654268837996e-05,,0.0,False,True
