asset,model_name,condition,loss_variant,loss_metric,n_obs,cp_loss,model_loss,advantage_cp_minus_model
AAPL,CP_REPO_OPS_HG,all_rows,excluding_near_zero_actual_bottom_asset_decile,MAE,33065,0.0007960507057929003,0.0007930536409188689,2.9970648740314113e-06
AAPL,CP_REPO_OPS_HG,all_rows,excluding_near_zero_actual_bottom_asset_decile,MSE,33065,3.6660921070074977e-06,3.6399442412628538e-06,2.6147865744643966e-08
AAPL,CP_REPO_OPS_HG,all_rows,excluding_near_zero_actual_bottom_asset_decile,RMSE,33065,0.0019147041826369675,0.0019078637900182638,6.840392618703752e-06
AAPL,CP_REPO_OPS_HG,all_rows,excluding_near_zero_actual_bottom_asset_decile,QLIKE,33065,259474.39568427167,1683617.8349015957,-1424143.4392173241
AAPL,CP_REPO_OPS_HG,all_rows,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,33065,0.9110923538730649,0.9350144367565262,-0.023922082883461315
AAPL,CP_REPO_OPS_HG,all_rows,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,33065,1.535975952410984,2.1219164730499993,-0.5859405206390154
AAPL,CP_REPO_OPS_HG,all_rows,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,33065,75.53905780119348,75.37154888996773,0.1675089112257524
AAPL,CP_REPO_OPS_HG,all_rows,high_vol_actual_top_asset_quintile,SMAPE,7348,74.80444856434387,73.83952951963224,0.9649190447116354
AAPL,CP_REPO_OPS_HG,all_rows,high_vol_actual_top_asset_quintile,MAE,7348,0.0019171362659303214,0.0018961303134635244,2.1005952466796995e-05
AAPL,CP_REPO_OPS_HG,all_rows,high_vol_actual_top_asset_quintile,MSE,7348,1.5053861373177693e-05,1.4914363453372379e-05,1.3949791980531474e-07
AAPL,CP_REPO_OPS_HG,all_rows,high_vol_actual_top_asset_quintile,RMSE,7348,0.003879930588706155,0.0038619118909385256,1.8018697767629554e-05
AAPL,CP_REPO_OPS_HG,all_rows,high_vol_actual_top_asset_quintile,QLIKE,7348,420826.29148731637,4211826.697564097,-3791000.4060767805
AAPL,CP_REPO_OPS_HG,all_rows,high_vol_actual_top_asset_quintile,log_RV_MAE,7348,0.8529880848274393,0.8678319576333184,-0.014843872805879177
AAPL,CP_REPO_OPS_HG,all_rows,high_vol_actual_top_asset_quintile,log_RV_MSE,7348,1.1579357587622605,1.7294676826781,-0.5715319239158394
AAPL,CP_REPO_OPS_HG,all_rows,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,7348,74.7352822640461,73.75225464113605,0.9830276229100576
AAPL,CP_REPO_OPS_HG,all_observations,standard,SMAPE,36717,87.84795965153866,87.70342460773485,0.14453504380381332
AAPL,CP_REPO_OPS_HG,all_observations,standard,MAE,36717,0.0007905843180870078,0.0007850656556196897,5.5186624673181275e-06
AAPL,CP_REPO_OPS_HG,all_observations,standard,MSE,36717,3.365422792937255e-06,3.3375944814028783e-06,2.7828311534376853e-08
AAPL,CP_REPO_OPS_HG,all_observations,standard,RMSE,36717,0.001834508869680726,0.0018269084491027126,7.600420578013356e-06
AAPL,CP_REPO_OPS_HG,all_observations,standard,QLIKE,36717,233667.89909538408,1486283.1210387626,-1252615.2219433784
AAPL,CP_REPO_OPS_HG,all_observations,standard,log_RV_MAE,36717,2.645543404066834,2.6591217616523366,-0.01357835758550241
AAPL,CP_REPO_OPS_HG,all_observations,standard,log_RV_MSE,36717,37.74024446019222,38.00401041351837,-0.2637659533261498
AAPL,CP_REPO_OPS_HG,all_observations,standard,winsorized_SMAPE_1_99,36717,87.85436800276787,87.71067848653601,0.14368951623185922
AAPL,CP_REPO_OPS_HG,all_observations,excluding_near_zero_actual_bottom_asset_decile,SMAPE,33044,75.5729302008968,75.4153648376396,0.1575653632572056
AAPL,CP_REPO_OPS_HG,all_observations,excluding_near_zero_actual_bottom_asset_decile,MAE,33044,0.0007960221424252038,0.0007929335536428993,3.0885887823044276e-06
AAPL,CP_REPO_OPS_HG,all_observations,excluding_near_zero_actual_bottom_asset_decile,MSE,33044,3.666051205624212e-06,3.639850128905516e-06,2.6201076718695963e-08
AAPL,CP_REPO_OPS_HG,all_observations,excluding_near_zero_actual_bottom_asset_decile,RMSE,33044,0.0019146935017449167,0.0019078391255306396,6.8543762142771105e-06
AAPL,CP_REPO_OPS_HG,all_observations,excluding_near_zero_actual_bottom_asset_decile,QLIKE,33044,259639.29528195536,1651488.749680337,-1391849.4543983818
AAPL,CP_REPO_OPS_HG,all_observations,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,33044,0.9109763784896207,0.9342760194062433,-0.02329964091662262
AAPL,CP_REPO_OPS_HG,all_observations,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,33044,1.5357866348507434,2.1088395088888467,-0.5730528740381033
AAPL,CP_REPO_OPS_HG,all_observations,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,33044,75.53083801658593,75.35890713952747,0.17193087705845755
AAPL,CP_REPO_OPS_HG,all_observations,high_vol_actual_top_asset_quintile,SMAPE,7345,74.79288120863039,73.83231856761779,0.9605626410126007
AAPL,CP_REPO_OPS_HG,all_observations,high_vol_actual_top_asset_quintile,MAE,7345,0.001916515963900187,0.0018955781733106703,2.0937790589516765e-05
AAPL,CP_REPO_OPS_HG,all_observations,high_vol_actual_top_asset_quintile,MSE,7345,1.5049868371955632e-05,1.4911137419502347e-05,1.3873095245328511e-07
AAPL,CP_REPO_OPS_HG,all_observations,high_vol_actual_top_asset_quintile,RMSE,7345,0.00387941598336085,0.003861494195192108,1.7921788168741813e-05
AAPL,CP_REPO_OPS_HG,all_observations,high_vol_actual_top_asset_quintile,QLIKE,7345,420998.1727494909,4213546.9798600925,-3792548.8071106016
AAPL,CP_REPO_OPS_HG,all_observations,high_vol_actual_top_asset_quintile,log_RV_MAE,7345,0.8527710909366879,0.8677171330730692,-0.014946042136381288
AAPL,CP_REPO_OPS_HG,all_observations,high_vol_actual_top_asset_quintile,log_RV_MSE,7345,1.1572248720593206,1.7293381832459505,-0.5721133111866299
AAPL,CP_REPO_OPS_HG,all_observations,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,7345,74.72368022458888,73.74500812160116,0.9786721029877157
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,standard,SMAPE,7344,84.58273178431347,84.84175935473864,-0.2590275704251752
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,standard,MAE,7344,0.0010680890676450212,0.0010572674332380925,1.0821634406928734e-05
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,standard,MSE,7344,4.033649671542883e-06,3.959060209286506e-06,7.458946225637674e-08
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,standard,RMSE,7344,0.0020083947997201353,0.001989738728900482,1.8656070819653234e-05
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,standard,QLIKE,7344,209672.2483011225,4238386.32772701,-4028714.079425887
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,standard,log_RV_MAE,7344,1.959074323160744,2.006811856218536,-0.04773753305779205
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,standard,log_RV_MSE,7344,23.198054789241993,24.122333013824075,-0.924278224582082
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,standard,winsorized_SMAPE_1_99,7344,84.59055653656353,84.84919225103823,-0.2586357144747069
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,SMAPE,6912,77.4522643534193,77.72826552254827,-0.27600116912897477
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,MAE,6912,0.0010679387096212333,0.0010617271931861172,6.211516435116133e-06
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,MSE,6912,4.192254103503141e-06,4.128073763756938e-06,6.418033974620309e-08
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,RMSE,6912,0.0020474994758248755,0.002031766168572786,1.5733307252089636e-05
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,QLIKE,6912,222775.68210161277,4503284.40356235,-4280508.721460737
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,6912,0.9375137023136498,1.0005977817547058,-0.06308407944105598
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,6912,1.595409654349154,2.965772539727208,-1.370362885378054
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,6912,77.41879815979674,77.66325772805251,-0.24445956825577753
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,high_vol_actual_top_asset_quintile,SMAPE,2371,68.38918900750276,68.93577383413532,-0.5465848266325537
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,high_vol_actual_top_asset_quintile,MAE,2371,0.0018175080961378015,0.001811548716715463,5.959379422338425e-06
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,high_vol_actual_top_asset_quintile,MSE,2371,1.0495716833002033e-05,1.0351024192418268e-05,1.4469264058376584e-07
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,high_vol_actual_top_asset_quintile,RMSE,2371,0.003239709374774539,0.0032173007618838292,2.2408612890709775e-05
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,high_vol_actual_top_asset_quintile,QLIKE,2371,0.6788638561593331,8328545.3434464205,-8328544.6645825645
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,high_vol_actual_top_asset_quintile,log_RV_MAE,2371,0.7545384271864607,0.8098606570646677,-0.05532222987820701
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,high_vol_actual_top_asset_quintile,log_RV_MSE,2371,0.8024084495441947,1.8713531847135871,-1.0689447351693926
AAPL,CP_REPO_OPS_HG,cluster_entry_loose,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,2371,68.28926370244109,68.80755030377578,-0.5182866013346938
AAPL,CP_REPO_OPS_HG,recent_spike_position,standard,SMAPE,11065,88.42572535478025,88.05393713358409,0.3717882211961694
AAPL,CP_REPO_OPS_HG,recent_spike_position,standard,MAE,11065,0.0009032847440270987,0.0008895227926248549,1.3761951402243818e-05
