model_name,family,tau,kappa,gamma,intercept,alpha,clip,tail_rule,selection_score,pooled_min_normalized_gain,worst_fold_metric_normalized_gain,positive_fold_metric_count,fold_metric_count,pooled_smape_gain,pooled_mae_gain,pooled_mse_gain,pooled_smape_normalized_gain,pooled_mae_normalized_gain,pooled_mse_normalized_gain
PM_CAST_D,pm,1.0,0.07,-1.0,0.02,0.5,0.1,none,0.0024433575516203993,0.0028378470071077537,-0.0046276631139240375,11,12,0.28216938458952256,1.4319680535666173e-05,8.757983976847916e-09,0.0028378470071077537,0.025411255985664894,0.008068085051342115
PM_CAST_D,pm,1.0,0.07,-1.0,0.05,0.75,0.1,none,0.0024375341805308146,0.0028377591112473213,-0.003912657100630004,11,12,0.28216064503422444,1.4075630174070265e-05,9.017025819927329e-09,0.0028377591112473213,0.02497817186786902,0.008306721206346058
PM_CAST_D,pm,1.0,0.12,-1.0,0.0,0.35,0.1,none,0.0024362423517415395,0.002784447594200675,-0.003994996414108448,11,12,0.27685983850064133,1.3981242244520491e-05,8.916521279404335e-09,0.002784447594200675,0.024810674008278355,0.008214133781759628
PM_CAST_D,pm,0.1,0.07,-1.0,0.0,0.75,0.1,none,0.002433466650227258,0.0031393612678806294,-0.007553516570822825,10,12,0.3121491873041009,1.6586497119906512e-05,9.47637798226667e-09,0.0031393612678806294,0.02943387760429739,0.00872988849279793
PM_CAST_D,pm,0.1,0.07,-1.0,0.02,0.5,0.1,none,0.0024320754604001908,0.002886903232064098,-0.005418515280126525,11,12,0.2870470840467334,1.5105182333485616e-05,9.190946660648465e-09,0.002886903232064098,0.02680518284121686,0.008466941656491717
PM_CAST_D,pm,0.5,0.07,-0.5,-0.02,0.75,0.1,none,0.002429091554973793,0.003040725578096264,-0.0073946355127288334,10,12,0.302341762233155,1.6113159263091105e-05,9.321009270101166e-09,0.003040725578096264,0.028593907088385127,0.008586758751137917
PM_CAST_D,pm,0.1,0.12,-1.0,-0.02,0.75,0.1,none,0.002423157872991714,0.002985962344794177,-0.006631727042868198,10,12,0.29689661039788007,1.623086926965799e-05,9.529982374027297e-09,0.002985962344794177,0.028802791574424835,0.00877927026752982
PM_CAST_D,pm,1.0,0.12,-0.5,-0.02,0.75,0.1,none,0.0024221812465193924,0.002912684396863951,-0.005631901164672067,11,12,0.28961052576411817,1.5135456195368045e-05,9.294921357940198e-09,0.002912684396863951,0.026858905887066447,0.008562725880709854
PM_CAST_D,pm,0.1,0.07,-1.0,0.07,0.75,0.1,none,0.0024145315027197956,0.002742550743771462,-0.003916256242728904,11,12,0.2726940013458403,1.4029917474834533e-05,8.922375238667404e-09,0.002742550743771462,0.024897051545444113,0.008219526602909607
PM_CAST_D,pm,0.5,0.12,-0.5,-0.02,0.75,0.1,none,0.002409240414612565,0.002902822661339791,-0.005885563689674385,11,12,0.28862996555884024,1.5520649097836015e-05,1.0036100671601826e-08,0.002902822661339791,0.02754245713139031,0.009245519747052325
