asset,origin,Date,Actual,Predicted_CP_REPO_FRESH,Predicted_FULL_SMAPE_ACTION,Predicted_FULL_MEAN_ACTION,Predicted_FULL_MEDIAN_ACTION,Predicted_NO_Q_SMAPE_ACTION,selected_bandwidth,full_effective_neighbors,no_q_effective_neighbors,mean_quotient_distance_share
GOOGL,18698,2024-07-22 14:20:00,0.0014883005806487072,0.001171814780298,0.0008651455065409009,0.0009865650028671384,0.0006524796587137063,0.0008628400258193772,2.0,1136.6485495630666,1161.3632056591327,0.03354404916751802
GOOGL,18847,2024-07-24 13:45:00,0.0034492704505502472,0.002057412306922,0.0012064712184562771,0.001373527646136876,0.0009627253937647007,0.0012021126455364147,2.0,277.46984036551606,275.8590544395372,0.014061462456011054
GOOGL,19425,2024-08-05 09:55:00,0.0003796507258964794,0.0029899347917759,0.0009677511927114915,0.0009677511927114831,0.0009677511927114916,0.0009677511927114915,2.0,1.00000000000002,1.0000000000000253,0.0029562892858035305
GOOGL,19525,2024-08-06 11:45:00,0.0021864759608708475,0.0009765842105997,0.0007545799164688802,0.001036819281203893,0.0005337603542789638,0.0007235286248570253,2.0,1295.9822881338437,1330.2170062294583,0.13890569037533326
GOOGL,20205,2024-08-19 09:55:00,0.0006729681205923981,0.0011115431267885,0.0008651455065409009,0.001185698208887284,0.0006875215121282104,0.0008651455065409009,2.0,967.0439056348257,988.9692957472965,0.04916844777936405
GOOGL,20695,2024-08-27 11:45:00,0.0,0.0005867438694687,0.0005618153023956428,0.0009070596005580557,0.00042294934674374574,0.0005499373821038378,2.0,722.6173053011993,717.8942225464268,0.14817615989021238
GOOGL,21052,2024-09-03 15:30:00,0.0009112763211733877,0.0013338756726343,0.0009309542953200071,0.0014586701361366608,0.0008108529993621036,0.0009534025272296468,2.0,367.69748454627273,369.64475966974464,0.014323208589873276
GOOGL,21067,2024-09-04 10:15:00,0.00229182682438301,0.0007957702596631,0.0007844016538454835,0.0011418201974012472,0.0006124073925246461,0.0007728874247701269,2.0,862.3752744161325,895.6797805985898,0.05731013990702358
GOOGL,21146,2024-09-05 10:20:00,0.00044701300274982924,0.0009396478198563,0.0007579512358899894,0.0011386447394897818,0.0005806225047374747,0.0007465043126867082,2.0,1152.1796897518554,1186.4792314411256,0.07773525091401448
GOOGL,21187,2024-09-05 13:45:00,0.004731123791012438,0.0019467899189347,0.0021100982197887917,0.0011314832441016987,0.001006721430478429,0.0021100982197887917,2.0,7.492339714162876,7.476677423176513,0.004628242501569293
GOOGL,21508,2024-09-11 14:30:00,0.00381184154987991,0.0013480178365533,0.0012488295797567581,0.0015040066185944378,0.001007525998490205,0.0012488295797567581,2.0,466.4907629480633,474.86705783383684,0.013609646043841522
GOOGL,22125,2024-09-23 13:55:00,0.0006081800400326048,0.0012657521411306,0.0010786958633604896,0.0012591804605611451,0.0008801710614747154,0.0010786958633604896,2.0,545.3140084766461,545.4489782039652,0.02920722025529978
GOOGL,22714,2024-10-03 11:00:00,0.0009692271173087489,0.0007021697204696,0.0005779069730638012,0.000769210110085632,0.0004187980557187145,0.0005880623515544449,2.0,980.8526306380654,952.4872864549706,0.15377284865716234
GOOGL,22754,2024-10-03 14:20:00,0.0009084578040529086,0.0012698173047254,0.0008517888078892742,0.0010455269350537841,0.0005978001134509371,0.0008480223416923078,2.0,1464.1502169325684,1514.2356127516891,0.07184534690666798
GOOGL,22951,2024-10-08 11:15:00,0.0014668136109940405,0.0005842167320103,0.0007347988818767739,0.0009213595633431972,0.0004833252873209234,0.0007249879486230506,2.0,821.397244443959,783.2504626189424,0.05999108207160442
GOOGL,23229,2024-10-11 14:55:00,0.0006665621325845081,0.001125386483304,0.0010015023370896006,0.0011275275617279802,0.000685935237196224,0.000959846498264721,2.0,1204.564688582063,1242.2802939159667,0.04191668858912397
GOOGL,23936,2024-10-24 15:20:00,0.0003137390024842403,0.0010857234224247,0.0008511764801897518,0.0010188279359837926,0.0006235969271677029,0.0008447985054688561,2.0,1079.993055024304,1110.7216378924973,0.03679179082712343
GOOGL,24041,2024-10-28 11:05:00,0.0019655147934086814,0.0007370569006857,0.0008022958433251029,0.0009746338394805511,0.0006712433509090363,0.0008022958433251031,2.0,205.10645991806965,166.7986879991096,0.018446080151791867
GOOGL,24140,2024-10-29 12:50:00,0.0,0.0008983597265471,0.0006059871716165063,0.000876900240972509,0.0004448257309708235,0.0005955971801205708,2.0,1503.7969636563048,1534.4300697336823,0.10223296964728697
GOOGL,24209,2024-10-30 12:05:00,0.003091363212647947,0.0017068838798191,0.0009996423681126326,0.001198693146245748,0.0007369004925742636,0.0009937066071092544,2.0,850.2005420240947,870.1619827190444,0.025223889500413724
GOOGL,24278,2024-10-31 11:20:00,0.0013275232101687018,0.0019921698632765,0.0006141751820625536,0.0006165648563711028,0.0006141751820625536,0.0006141751820625536,2.0,1.0091318337276163,1.0088318617263834,0.009679364016589972
GOOGL,25525,2024-11-22 11:15:00,0.0011986815939303392,0.0011042176826509,0.000853346388489859,0.0011012560185756346,0.0006518711896368235,0.0008351727503289534,2.0,1001.0709914459037,1037.849157526224,0.07317498056912237
GOOGL,25615,2024-11-25 12:15:00,0.0002412836300764032,0.0007064608073668,0.000541532550314082,0.0007051906699348644,0.00037133309004482484,0.0005260959163229384,2.0,1121.288131996079,1112.437556089121,0.1968409291179748
GOOGL,25769,2024-11-27 12:05:00,0.0002956043652729315,0.0006118847618948,0.00048487699033236524,0.0005461761000248447,0.0003021604494965512,0.00048487699033236524,2.0,721.3434454518731,702.6135429096597,0.11019808191528244
GOOGL,26168,2024-12-05 12:50:00,0.00068508794641173,0.0008156549358189,0.0005897965372977326,0.0008460244314632505,0.00047164250373163554,0.0005815306048972922,2.0,1425.0634988343968,1448.2458640959744,0.21211645864584702
GOOGL,26678,2024-12-16 09:50:00,0.00036711682594056677,0.0011879859625867,0.0009684679026253993,0.0013712843228035833,0.0007001575640480205,0.0009498650124962068,2.0,581.5207972186352,593.2330366638007,0.019448442373180403
GOOGL,27882,2025-01-08 12:40:00,0.0012471421279737515,0.0010771946194586,0.0008009153746210572,0.0011565774975064616,0.0006793301021580129,0.0007681172642718919,2.0,1127.3828761442237,1167.6400604258627,0.05103004851126281
GOOGL,28006,2025-01-13 10:00:00,0.0,0.0013645744937853,0.0021842018148409857,0.0005989472811905822,0.00010360010369284672,0.0021842018148409857,2.0,3.5787114208363695,3.3596163511288455,0.003382320966659033
GOOGL,28583,2025-01-23 12:35:00,5.0346129651822714e-05,0.0006986849630703,0.0006283380665414028,0.0009469580609454593,0.000553636764371856,0.0006268282695839479,2.0,1241.489667299695,1265.1403388568863,0.14791620561020719
GOOGL,28720,2025-01-27 11:00:00,0.003566749126127273,0.0010515193099161,0.0005936800239137094,0.0009204623546830284,0.0005936800239137093,0.0005936800239137094,2.0,7.039418027146596,7.221859460974134,0.00644703634924515
GOOGL,28788,2025-01-28 10:10:00,0.0011884156719440798,0.0010706583804231,0.0006671970274961356,0.002205257456690485,0.000606091235281922,0.0006671970274961356,2.0,53.57186574800991,52.82201438366707,0.007524700653498367
GOOGL,28830,2025-01-28 13:40:00,0.001400306221607682,0.0010729019891619,0.0006289638029035008,0.0009205199901243166,0.0005575690136084751,0.0006274181947952687,2.0,1135.3907616438962,1149.072939641431,0.13560139456899536
GOOGL,28858,2025-01-28 16:00:00,0.00212763310674105,0.001207856760599,0.001137891919612949,0.0015736351863358871,0.0008496286604224385,0.0011371861041482088,2.0,442.0605291369766,449.36573528306013,0.012931845407964446
GOOGL,29016,2025-01-31 09:40:00,0.020850234085979323,0.001549667206171,0.001629038142290041,0.0018877270023498688,0.0011726020360144811,0.001629038142290041,2.0,130.1501656195712,131.15425913628476,0.0065387941144391445
GOOGL,29698,2025-02-12 14:30:00,0.0032795875254693204,0.0006699993715875,0.0007136303697698463,0.001140444841636638,0.0006140620395594097,0.0006900291071762542,2.0,1125.6491298144324,1146.957922083895,0.030413546437722868
GOOGL,29719,2025-02-13 09:45:00,5.451225164189322e-05,0.0009416159330289,0.0007647014213738846,0.0012143828593120989,0.0006546645078333589,0.0007569331519639714,2.0,863.9740799169252,887.7252941818163,0.03576041120495792
GOOGL,29844,2025-02-14 13:40:00,0.0004850575427234345,0.0010913739262707,0.0006542362025966327,0.001027530820747667,0.0005671711204144169,0.0006432936857417076,2.0,1267.8765347281471,1295.9301270336941,0.07794373372192882
GOOGL,30933,2025-03-07 13:25:00,0.00040559724749913935,0.0008137489603813,0.000495540148891661,0.0007663048716919815,0.0004363239774703552,0.0004921502141761827,2.0,1172.8294853008847,1167.9673736268874,0.19893548207601414
GOOGL,31318,2025-03-14 13:00:00,0.0007910189344277116,0.0010027712936955,0.0005998963995246776,0.0009301007334789574,0.0005245519572413323,0.0005948357617597787,2.0,1276.7131647882825,1287.8152049155447,0.12330352013681171
GOOGL,31469,2025-03-18 12:35:00,0.0018891501398353753,0.0008583840781124,0.0005926979784698211,0.0008789990193325838,0.000495466491828332,0.0005824825351887293,2.0,1230.7090545703422,1238.6372214864325,0.13992253193832763
GOOGL,31967,2025-03-26 15:05:00,0.0010015952673587995,0.0011706926639872,0.0007621728156020479,0.001152346178386668,0.0006581611027636633,0.0007345639877045513,2.0,975.9622242183278,993.1921966283489,0.01980353956324535
GOOGL,32818,2025-04-10 14:30:00,0.00012860082322253054,0.0034229958087626,0.0023102544759311845,0.002693660906627519,0.002310254475931185,0.0023102544759311845,2.0,10.436977990580264,10.54506585303801,0.002464284345368919
