asset,model_name,n_obs,SMAPE,MAE,MSE,RMSE,mean_effective_neighbors,mean_no_q_effective_neighbors,mean_quotient_distance_share
QQQ,FULL_SMAPE_ACTION,100,80.33599603208886,0.0008310290990011786,8.747851244279229e-06,0.0029576766632407993,980.3525019562032,1010.3233847752349,0.09342714997998369
QQQ,FULL_MEAN_ACTION,100,87.09367806327872,0.0008817471112859355,8.254755426185908e-06,0.0028731090174558133,980.3525019562032,1010.3233847752349,0.09342714997998369
QQQ,FULL_MEDIAN_ACTION,100,79.49444154435581,0.0008271928106641633,8.780886219313125e-06,0.002963256016498258,980.3525019562032,1010.3233847752349,0.09342714997998369
QQQ,NO_Q_SMAPE_ACTION,100,79.87340867362774,0.0008278538630178611,8.743205624703793e-06,0.002956891209480625,980.3525019562032,1010.3233847752349,0.09342714997998369
SPY,CP_REPO_FRESH,100,89.23277864846314,0.0003656888004194561,5.330409940061366e-07,0.000730096564850251,943.8504296176278,986.2912514595645,0.13322538170418477
SPY,FULL_SMAPE_ACTION,100,85.82045652860383,0.0003315431579496457,5.352140994644905e-07,0.0007315832826578875,943.8504296176278,986.2912514595645,0.13322538170418477
SPY,FULL_MEAN_ACTION,100,90.02994897694117,0.0003910753802329397,5.65198587115322e-07,0.0007517969054973039,943.8504296176278,986.2912514595645,0.13322538170418477
SPY,FULL_MEDIAN_ACTION,100,85.00883562038833,0.00032358889563595,5.394862696696551e-07,0.0007344972904440527,943.8504296176278,986.2912514595645,0.13322538170418477
SPY,NO_Q_SMAPE_ACTION,100,85.74017777178777,0.0003293547250668631,5.326015554518234e-07,0.0007297955572979486,943.8504296176278,986.2912514595645,0.13322538170418477
TLT,CP_REPO_FRESH,100,79.43273243779446,0.0004947556761920878,1.5233495242279302e-06,0.0012342404645075975,1280.0767483661227,1297.3970539509398,0.12810950001261556
TLT,FULL_SMAPE_ACTION,100,77.14290104925611,0.0004701694871911356,1.5612901602221423e-06,0.0012495159703749857,1280.0767483661227,1297.3970539509398,0.12810950001261556
TLT,FULL_MEAN_ACTION,100,83.53072342861255,0.0005147059705992868,1.5236257462357033e-06,0.0012343523590270743,1280.0767483661227,1297.3970539509398,0.12810950001261556
TLT,FULL_MEDIAN_ACTION,100,75.33267222529484,0.000452337843065871,1.5838923492362888e-06,0.0012585278500042375,1280.0767483661227,1297.3970539509398,0.12810950001261556
TLT,NO_Q_SMAPE_ACTION,100,77.18072433517712,0.00047023911242257267,1.5611222231468315e-06,0.0012494487677159201,1280.0767483661227,1297.3970539509398,0.12810950001261556
POOLED,CP_REPO_FRESH,1000,103.12559517066052,0.00064548866718064,3.6745107617262144e-06,0.0019169013437645179,958.9182328713066,985.9194204063779,0.13139688976596386
POOLED,FULL_SMAPE_ACTION,1000,100.17059204825226,0.0006405094486009897,3.7246766632220923e-06,0.0019299421398638074,958.9182328713066,985.9194204063779,0.13139688976596386
POOLED,FULL_MEAN_ACTION,1000,104.24022888443646,0.0006466703354923251,3.5936231664846017e-06,0.001895685408100353,958.9182328713066,985.9194204063779,0.13139688976596386
POOLED,FULL_MEDIAN_ACTION,1000,79.08600295219911,0.0005584045838852306,3.731619582071627e-06,0.0019317400399825094,958.9182328713066,985.9194204063779,0.13139688976596386
POOLED,NO_Q_SMAPE_ACTION,1000,100.16349095701246,0.0006321030929755198,3.705653639107676e-06,0.001925007438714894,958.9182328713066,985.9194204063779,0.13139688976596386
