model,family,feature_count,suite,n_tickers,smape_pct_mean,smape_pct_se,rmse_mean,rmse_se,mae_mean,mae_se,medae_mean,medae_se,diracc_pct_mean,diracc_pct_se
PM,PM,10.0,core,10,101.40627547398985,7.6606483419925695,0.0013963077244395126,0.00017341325532598749,0.0005945301386550119,7.600961460913547e-05,0.00040850784634364454,5.390351958028408e-05,59.105801064062426,3.818704438666528
PM_FC3,PM_FC,3.0,capacity,10,101.40137634241039,7.657526044744914,0.0013961182329139212,0.00017341974050705955,0.0005943945261991242,7.599862950500594e-05,0.00040892785881323993,5.402758095958242e-05,59.10445795283321,3.8142147016215375
PM_FC6,PM_FC,6.0,capacity,10,101.40326504407324,7.661530953740199,0.0013961980041179245,0.0001734157271141994,0.0005944311332388416,7.599609098534934e-05,0.0004086318193972,5.394205915344292e-05,59.09465306785289,3.8149647987250934
PM_FC9,PM_FC,9.0,capacity,10,101.4047139041335,7.660802001113396,0.0013963027730257427,0.0001734119993750978,0.0005945081389965013,7.600162257973484e-05,0.000408496491616375,5.389230602878844e-05,59.10743425040899,3.818698714229253
PREFIX_FC3,PREFIX,3.0,capacity,10,100.97619813876842,7.704611505623666,0.0013943490992288144,0.00017310574303780395,0.0005886662023557944,7.500842922891476e-05,0.00039959523876935833,5.2538655035619256e-05,59.32082227241733,3.862095483731353
PREFIX_FC6,PREFIX,6.0,capacity,10,100.94143747063625,7.712874178171908,0.0013937509863284916,0.00017293435754051948,0.0005877530023955203,7.480395220085455e-05,0.000397890981871692,5.23168418534875e-05,59.36354520466038,3.8709967620170276
PREFIX_FC9,PREFIX,9.0,capacity,10,100.94381498972076,7.716007020576729,0.0013937846827692074,0.00017291564606580894,0.0005878045584154171,7.481886504945965e-05,0.0003977038608227395,5.227897567099367e-05,59.36571240603412,3.8720046019007373
RAND_FC3_S0,RAND,3.0,random,10,101.51339449717209,7.644221718757561,0.0013969863188496084,0.00017353824922067515,0.0005958473167276979,7.61786229474066e-05,0.0004114735603241851,5.4311377451034447e-05,58.99557424954164,3.807144885007241
RAND_FC3_S1,RAND,3.0,random,10,101.37796063195,7.6615183061229715,0.0013959159337552057,0.00017332944989358713,0.0005939698645156305,7.586691307331883e-05,0.0004080332240725728,5.366401188316225e-05,59.09900419461307,3.811558718591403
RAND_FC3_S2,RAND,3.0,random,10,101.39012186319704,7.6492022808982965,0.0013965810551428229,0.00017349907024164266,0.0005942706424462373,7.58658815048533e-05,0.00040950262860454614,5.394532254665512e-05,59.10117312605708,3.8119022300122443
RAND_FC6_S0,RAND,6.0,random,10,101.50460359314965,7.647360174184008,0.0013969928674590526,0.00017352637861209092,0.0005957727165006036,7.617112091195742e-05,0.00041066373898806586,5.421685730025536e-05,59.00835312533737,3.8080413375073445
