feature_name,feature_family,source_model,n_lags,zero_block_sum_pass,max_abs_block_sum,global_weight_sum,global_level_sum_pass,block_sums_json,weights_json,asset,run_type,seed,prime_mode,laplacian_eigenvalue,diffusion_tau,model_role,component,pm_low_modes
PMQDK_MODE_26_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.283819908053952,-6.661338147750939e-16,True,"{""B1"": -1.2838199080539519, ""B2"": 0.48967698659457587, ""B3"": 0.24689875711631057, ""B4"": 0.5472441643430644}","[2.527319749353057e-16, -0.7495485398292678, -0.5342713682246842, 0.6021541936915511, 0.681665714362401, -0.3982822687946487, -0.6003220885639085, 0.20446143589918092, 0.47259688439748576, -0.1000452085214393, -0.5253505584298226, 0.21063287544510584, 0.39104347693656194, -0.20197871271158105, -0.49551828343842225, 0.1175571219982505, 0.6768528831116278, -0.06123354461105762, -0.8727723653774604, -0.08610222240253719, 0.8060757052262209, 0.4623848698364428]",GOOGL,full,42,"[1, 1, 2]",10.618033988749897,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_26_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.5788382016811771,-1.3322676295501878e-15,True,"{""B1"": 0.11329450947278041, ""B2"": 0.1557558781523608, ""B3"": -0.5788382016811771, ""B4"": 0.3097878140560345}","[-8.239792071316859e-16, -0.3759661438305024, 0.48926065330328367, 0.5475240251005526, -0.6608185345733334, -0.6460386319231544, 0.3731564867431708, 0.5419325328051251, -0.13281423137788254, -0.4294226212101705, -0.022878185801219773, 0.6865080162839451, -0.3076086943695566, -0.37262248520629276, 0.1770094683165386, 0.5192576005882511, -0.022878870860743188, -0.7235844917388515, -0.04208730851637973, 0.9132316874669664, 0.14965921713612262, -0.6608194883358698]",GOOGL,full,42,"[1, 1, 2]",10.618033988749897,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_27_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.7182498323176151,-4.440892098500626e-15,True,"{""B1"": 0.08715097256549253, ""B2"": -0.4719339359762496, ""B3"": 0.7182498323176151, ""B4"": -0.3334668689068623}","[-8.918089749098876e-16, 0.2717051289303365, -0.18455415636484307, -0.5023835407442907, 0.4152325681787974, -0.7938181796985256, 0.7489303167285298, -0.3398951004407605, 0.25211500224356437, 0.0840802066825263, -0.18082523269788756, 0.2352911909512323, -0.11257180148686609, 0.4401604666250457, -0.49531479731887074, 0.6253835305014355, -0.6023798530530805, 0.6370210582924691, -0.18989192812431951, -0.0039979775424529036, 0.349259881894976, -0.6535467835570192]",GOOGL,full,42,"[1, 1, 3]",10.618033988749897,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_27_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.2085689435723734,-1.4432899320127037e-15,True,"{""B1"": -0.11607063026234776, ""B2"": -0.11598216491453178, ""B3"": 0.023483851604504724, ""B4"": 0.20856894357237343}","[-4.1525152500889097e-16, 0.5173410816627654, -0.6334117119251127, 0.5240074374159263, -0.40793680715357866, 0.08501831948626962, 0.1781587519764107, -0.4952298666395597, 0.6754125894645384, -0.6594794515790097, 0.5732730660987149, -0.603738477946371, 0.5906057407886931, -0.552589615222061, 0.43431945674291234, -0.162655371986771, -0.2679546607359578, 0.5380358377759796, -0.6468304116584053, 0.6330968019896771, -0.49563601359821463, 0.17619330504315311]",GOOGL,full,42,"[1, 1, 3]",10.618033988749897,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_28_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.7182498323176165,-4.107825191113079e-15,True,"{""B1"": 0.0871509725654924, ""B2"": -0.4719339359762501, ""B3"": 0.7182498323176165, ""B4"": -0.33346686890686283}","[-8.918089749098892e-16, 0.2717051289303376, -0.18455415636484432, -0.5023835407442896, 0.41523256817879667, -0.793818179698526, 0.7489303167285296, -0.3398951004407609, 0.2521150022435651, 0.0840802066825256, -0.18082523269788678, 0.2352911909512321, -0.11257180148686437, 0.4401604666250449, -0.49531479731887007, 0.6253835305014346, -0.6023798530530812, 0.6370210582924692, -0.18989192812432054, -0.003997977542451896, 0.34925988189497614, -0.6535467835570191]",GOOGL,full,42,"[1, 2, 2]",10.618033988749897,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_28_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.2085689435723754,8.881784197001252e-16,True,"{""B1"": 0.11607063026234754, ""B2"": 0.11598216491453323, ""B3"": -0.02348385160450439, ""B4"": -0.20856894357237543}","[4.152515250088885e-16, -0.5173410816627652, 0.6334117119251123, -0.5240074374159269, 0.40793680715357916, -0.08501831948626988, -0.17815875197640865, 0.49522986663955954, -0.6754125894645381, 0.6594794515790093, -0.5732730660987145, 0.6037384779463708, -0.5906057407886938, 0.5525896152220618, -0.43431945674291234, 0.16265537198677135, 0.26795466073595625, -0.5380358377759786, 0.6468304116584049, -0.6330968019896775, 0.49563601359821424, -0.17619330504315373]",GOOGL,full,42,"[1, 2, 2]",10.618033988749897,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_29_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.2838199080539512,-9.43689570931383e-16,True,"{""B1"": -1.2838199080539512, ""B2"": 0.4896769865945765, ""B3"": 0.24689875711630963, ""B4"": 0.5472441643430637}","[2.5273197493530434e-16, -0.7495485398292684, -0.534271368224683, 0.6021541936915521, 0.6816657143623993, -0.3982822687946488, -0.6003220885639069, 0.20446143589918073, 0.4725968843974854, -0.10004520852143961, -0.525350558429822, 0.2106328754451059, 0.3910434769365612, -0.20197871271158122, -0.495518283438422, 0.11755712199825065, 0.6768528831116278, -0.061233544611058094, -0.8727723653774607, -0.08610222240253546, 0.8060757052262201, 0.4623848698364415]",GOOGL,full,42,"[1, 2, 3]",10.618033988749897,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_29_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.5788382016811755,1.5543122344752194e-15,True,"{""B1"": -0.11329450947278236, ""B2"": -0.1557558781523607, ""B3"": 0.5788382016811755, ""B4"": -0.30978781405603095}","[8.239792071316858e-16, 0.3759661438305011, -0.4892606533032843, -0.5475240251005512, 0.660818534573334, 0.6460386319231546, -0.3731564867431728, -0.5419325328051252, 0.13281423137788279, 0.4294226212101705, 0.022878185801218434, -0.6865080162839454, 0.3076086943695572, 0.37262248520629204, -0.17700946831653866, -0.5192576005882502, 0.022878870860746723, 0.7235844917388516, 0.04208730851637863, -0.9132316874669669, -0.14965921713612218, 0.66081948833587]",GOOGL,full,42,"[1, 2, 3]",10.618033988749897,0.05,PM quotient harmonic basis,imag,
PHQO_ENERGY_LAG_01,PHQO_ENERGY_FIELD,PHQO,22,False,0.0370622654899934,1.9637069748057456e-15,True,"{""B1"": 0.017565528430828745, ""B2"": -0.01100277436364945, ""B3"": -0.03706226548999343, ""B4"": 0.030499511422816122}","[5.495645717433228e-16, -0.0409217614555999, 0.058487289886428095, -0.04533910541566503, 0.027773576984836967, -0.11186734894539317, 0.08735894798373767, 0.031071155028834105, 0.06663983950103608, 0.031106015905501955, -0.012480464140277037, -0.06135634646580266, -0.13171304152436653, 0.07074173123391476, 0.007338991974634302, 0.1257448356456776, -0.009965652786736114, 0.042154596609103895, -0.09204246531928596, -0.06621858486497197, -0.0013970225600069784, 0.02488481272440134]",GOOGL,full,42,,,0.05,Prime-harmonic quotient energy row,,12.0
PHQO_ENERGY_LAG_02,PHQO_ENERGY_FIELD,PHQO,22,False,0.1297917281284042,-9.506284648352905e-16,True,"{""B1"": 0.07896015656385283, ""B2"": -0.12979172812840423, ""B3"": -0.04656275157396218, ""B4"": 0.0973943231385126}","[-1.9926359735617089e-16, 0.14386212653430058, -0.06490196997044756, 0.012553245338455175, -0.09151340190230822, -0.0021331435542165946, -0.12942561848213913, 0.08072719047180456, 0.05822895018908695, 0.08637024001982933, 0.03162419000852086, -0.056204668010218374, -0.020524989923613804, -0.14605647385756718, 0.10471429296456594, 0.014912184586721987, 0.08092749982733627, 0.004699769422257248, 0.07527427833002527, -0.09957113108208816, -0.04440323104102634, -0.039159339869279594]",GOOGL,full,42,,,0.05,Prime-harmonic quotient energy row,,12.0
PHQO_ENERGY_LAG_03,PHQO_ENERGY_FIELD,PHQO,22,False,0.2647338573156081,-4.198030811863873e-16,True,"{""B1"": 0.07138568889244196, ""B2"": -0.26473385731560817, ""B3"": 0.19017689193975912, ""B4"": 0.003171276483406718}","[-3.192757636479247e-18, -0.049872316072256014, 0.12125800496469796, -0.07352420779686691, 0.0021385189044250278, -0.06907161981873844, 0.006533436668610872, -0.13080998527303872, 0.08122369859018316, 0.06160015596940633, 0.07971148839254949, 0.04629406104298669, -0.06679173917042594, -0.011860772884940614, -0.14661856799085848, 0.09878942769322682, 0.02781317381623309, 0.07634371947876674, 0.004161282091622307, 0.0828798931170285, -0.10942929626703797, -0.030768355455574287]",GOOGL,full,42,,,0.05,Prime-harmonic quotient energy row,,12.0
PHQO_ENERGY_LAG_04,PHQO_ENERGY_FIELD,PHQO,22,False,0.0496899067052931,-5.134781488891349e-16,True,"{""B1"": -0.04736626268806864, ""B2"": 0.005326915580315066, ""B3"": 0.04968990670529311, ""B4"": -0.00765055959754006}","[-1.0436375405293972e-16, 0.00966001388119459, -0.05702627656926313, 0.12256351022068632, -0.0751972475326178, 0.030911894202010515, -0.06744405619320758, -0.005507185116556383, -0.13086955694303942, 0.08477667384702212, 0.04943640348202224, 0.07472802989484652, 0.043812685517903634, -0.07219432909346196, -0.010129231518966036, -0.15401266245052794, 0.09325253917485798, 0.01872077616791628, 0.08050037581581514, 0.0005498052045615657, 0.0736643647664949, -0.11019652675769197]",GOOGL,full,42,,,0.05,Prime-harmonic quotient energy row,,12.0
PHQO_ENERGY_LAG_05,PHQO_ENERGY_FIELD,PHQO,22,False,0.1003293925644465,-9.714451465470121e-17,True,"{""B1"": -0.10032939256444655, ""B2"": 0.01772741884458856, ""B3"": 0.07788189844067592, ""B4"": 0.004720075279181946}","[-8.536621945740428e-17, -0.09377248993589045, -0.0065569026285560135, -0.030876764342381284, 0.13120615690682766, -0.032438175329460875, 0.04248948727146773, -0.09265328566186466, -0.017457576459484894, -0.1301652162487759, 0.06370367118729406, 0.0865381010428639, 0.027580787259512025, 0.04768213165926672, -0.08477774152581095, -0.01432838972737419, -0.13990298502339207, 0.0716294010309083, 0.0006522091426018209, 0.08373680086775744, -0.016937106130459113, 0.10464788664495071]",GOOGL,full,42,,,0.05,Prime-harmonic quotient energy row,,12.0
PHQO_ENERGY_LAG_06,PHQO_ENERGY_FIELD,PHQO,22,False,0.1873641152708263,1.491862189340054e-16,True,"{""B1"": -0.022330959056000552, ""B2"": 0.1873641152708263, ""B3"": -0.07727965032831893, ""B4"": -0.08775350588650666}","[-2.050877163831525e-17, 0.020680004190951225, -0.04301096324695176, 0.012885155275408613, 0.009445803780592113, 0.13013446284139887, -0.03288841508628286, 0.06778710845970957, -0.10510586098912277, -0.036090357793205706, -0.11481585679253872, 0.04333190011845889, 0.11079323608275561, 0.024607289045333734, 0.03209769970809971, -0.0934407489124914, -0.0022512029885623083, -0.13556938129551366, 0.06761341666837983, -0.005453145695485072, 0.07812214286363094, -0.028872286234564695]",GOOGL,full,42,,,0.05,Prime-harmonic quotient energy row,,12.0
PHQO_ENERGY_LAG_07,PHQO_ENERGY_FIELD,PHQO,22,False,0.1239857892692278,9.43689570931383e-16,True,"{""B1"": -0.02499642588121597, ""B2"": 0.12398578926922785, ""B3"": -0.057079048165977614, ""B4"": -0.04191031522203334}","[1.598059500038645e-16, -0.06097926695794202, 0.03598284107672589, -0.0110309762545706, 0.0360274021357863, 0.004793690589487591, 0.13342615078106934, -0.039230477982544774, 0.05436617208397734, -0.11328424689107428, -0.03647214288649376, -0.08803213686387933, 0.012669354011925581, 0.11367395237956682, 0.008974532229849248, 0.03834183430706252, -0.08130177921381068, -0.009421717106106488, -0.15700914820897377, 0.06828231252543863, -0.006663382010055415, 0.0968870322545626]",GOOGL,full,42,,,0.05,Prime-harmonic quotient energy row,,12.0
PHQO_ENERGY_LAG_08,PHQO_ENERGY_FIELD,PHQO,22,False,0.1633976249363188,-4.3715031594615544e-16,True,"{""B1"": 0.002635031959678097, ""B2"": 0.14142203572803846, ""B3"": -0.1633976249363188, ""B4"": 0.01934055724860176}","[-1.886797029188197e-17, 0.05007152217031189, -0.04743649021063377, 0.014861042157996978, -0.017496074117674783, -0.013737926387526758, -0.0032171126250082074, 0.16101210670025123, -0.030647518741505543, 0.05149614095895022, -0.08953493317753611, -0.05630635639263958, -0.05424128192401781, 0.015836324340430023, 0.1210495113299, 0.01685974459705642, 0.03516063225539263, -0.059334334565599535, -4.984775692231242e-05, -0.1550495781711752, 0.08641311496800615, -0.02570868540805637]",GOOGL,full,42,,,0.05,Prime-harmonic quotient energy row,,12.0
