asset,model_name,n_compared,max_abs_prediction_diff,mean_abs_prediction_diff,timestamp_alignment_exact,no_duplicate_dates,actual_target_match,selected_lambda_shape,selected_lambda_r_ratio,design_rank,feature_count,rank_deficient,threshold,first_failing_timestamp,passes,message
SPY,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
SPY,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
SPY,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
TLT,CP_REPO_FRESH,8,6.416308456769215e-16,2.5116220951984514e-16,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
TLT,RAW_CP_REPO_PLUS_PM,8,1.1789614423607377e-15,4.852888924045118e-16,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
TLT,CP_REPO_RIDGE_OPS_R,8,7.643625316022806e-16,3.178880769727499e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
TLT,CP_REPO_LRPM,8,1.2195106036116954e-15,4.41988568140872e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
TLT,CP_REPO_RIDGE_OPS_C,8,2.387196343378584e-15,5.574696520377342e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
TLT,CP_REPO_GATED_RIDGE_OPS_C,8,1.0414846068895756e-15,4.532371656804092e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
TLT,CP_REPO_OPS_HG,8,7.37257477290143e-16,3.929758536809491e-16,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
TLT,RANDOM_GATE_PLACEBO_REPO,8,1.1075125191939428e-15,4.389324732671784e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
TLT,RIDGE_AR22,8,2.0599841277224584e-18,1.0299920638612292e-18,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
TLT,CP_REPO_OPS_K,8,9.300286235580657e-16,4.0880520539923753e-16,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
TLT,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
TLT,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
TLT,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
