asset,challenger_model,strategy,gate_type,selected_coverage,selected_threshold,validation_score,validation_fraction,uses_future_outcomes_for_threshold,uses_full_evaluation_scores_for_threshold
AMZN,RAW_CP_REPO_PLUS_PM,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001538743421415,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_30pct,perturbation_magnitude,0.3,0.000114141581763,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,0.000114141581763,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.0003101186427675,-0.3417128099959626,0.25,False,False
AMZN,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AMZN,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,condition_label,0.1201557776627903,,,0.0,False,False
AMZN,CP_REPO_OPS_HG,top_5pct,perturbation_magnitude,0.05,0.0003684619911279,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0003684619911279,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_10pct,perturbation_magnitude,0.1,0.0002594397924529,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0002594397924529,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_20pct,perturbation_magnitude,0.2,0.0001605043492661,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001605043492661,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_30pct,perturbation_magnitude,0.3,0.0001109083287034,,0.0,False,True
AMZN,CP_REPO_OPS_HG,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,0.0001109083287034,,0.0,False,True
AMZN,CP_REPO_OPS_HG,validation_selected,prefix_validation_perturbation_magnitude,0.2,0.0001540204434312,-0.0171884762488136,0.25,False,False
AMZN,CP_REPO_OPS_HG,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AMZN,CP_REPO_OPS_HG,condition_entry_with_recent_spike,condition_label,0.1201557776627903,,,0.0,False,False
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_5pct,perturbation_magnitude,0.05,0.000300081239133,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.000300081239133,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_10pct,perturbation_magnitude,0.1,0.0002057529667544,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0002057529667544,,0.0,False,True
