ticker,baseline,model,family,feature_count,seed,offset,suite,n_obs,delta_smape_pp,delta_mae,win_rate_pct,dm_abs_stat,dm_abs_p,dm_smape_stat,dm_smape_p
FXI,CP,CP_FC3,CP_FC,3.0,,,capacity,36817,-0.19031507806961484,-1.0253691898051765e-05,40.345492571366485,-8.167408037248602,3.1508576318978124e-16,-1.600712478961977,0.10944061594607289
FXI,CP,EQWIN_FC3,EQWIN,3.0,,,capacity,36817,-0.08464321131097316,-9.615991986391457e-06,42.99372572452943,-6.000832509626993,1.9630840534493653e-09,-0.6645361835879715,0.5063471983021811
FXI,CP,PREFIX_FC3,PREFIX,3.0,,,capacity,36817,-0.08462207028715103,-9.576319126934135e-06,42.72482820436211,-6.113236660709687,9.763041810745633e-10,-0.670491216057176,0.5025447041257857
FXI,CP,PM_FC6,PM_FC,6.0,,,capacity,36817,-0.23405834007187337,-1.1725737059316221e-05,42.56186001032132,-6.959884568243437,3.405516586896603e-12,-1.8045064809570885,0.07115194409047743
FXI,CP,CP_FC6,CP_FC,6.0,,,capacity,36817,0.1939803235657644,-3.0856674714648354e-06,40.46228644376239,-4.815999421567682,1.4646494714405149e-06,2.329085892856134,0.019854515876989606
FXI,CP,EQWIN_FC6,EQWIN,6.0,,,capacity,36817,-0.0806506251625647,-8.942395451757552e-06,42.627047287937636,-5.467084234855499,4.5749867512606066e-08,-0.6396318763783368,0.5224119537708927
FXI,CP,PREFIX_FC6,PREFIX,6.0,,,capacity,36817,-0.13777873542056074,-9.05273489181067e-06,42.4613629573295,-5.532634593118476,3.1545620736110914e-08,-1.1026901573415908,0.27016174257016556
FXI,CP,PM_FC9,PM_FC,9.0,,,capacity,36817,-0.23367121826686296,-1.1819283337657339e-05,42.74655729690089,-7.011920680504531,2.350684686633335e-12,-1.8087521687308568,0.07048951422131655
FXI,CP,CP_FC9,CP_FC,9.0,,,capacity,36817,0.024723710403186428,-5.261660971836863e-07,40.921313523643974,-2.569074114087761,0.010197064626578555,1.3388946014361824,0.18060498739644837
FXI,CP,EQWIN_FC9,EQWIN,9.0,,,capacity,36817,-0.1389473176485762,-9.383394324857853e-06,42.73840888719885,-5.566840328493162,2.59399884585533e-08,-1.116452377305778,0.26422854416957897
FXI,CP,PREFIX_FC9,PREFIX,9.0,,,capacity,36817,-0.10202525163123262,-8.887937476253803e-06,42.40432408941522,-5.46458433522304,4.639927498849851e-08,-0.8247951660216181,0.40948789155111787
