baseline,model,family,feature_count,suite,n_tickers,delta_smape_pp_mean,delta_smape_pp_se,delta_mae_mean,delta_mae_se,win_rate_pct_mean,win_rate_pct_se
HAR,RAND_FC3_S2,RAND,3.0,random,10,0.7809506407769748,0.19682861648387837,9.48888502921552e-06,1.3296304294938605e-06,44.47816297358062,3.0763357643131886
HAR,RAND_FC6_S0,RAND,6.0,random,10,0.6664689108243906,0.18984808168235873,7.986810974849177e-06,1.1655022504783617e-06,44.01380283543883,3.0781228200383706
HAR,RAND_FC6_S1,RAND,6.0,random,10,0.8019295604894019,0.21679572071098813,1.0027700056542453e-05,1.43488259092916e-06,44.2308204024075,3.1312006302859148
HAR,RAND_FC6_S2,RAND,6.0,random,10,0.9055633960405615,0.22873980278849132,1.1276426971293552e-05,1.6231143784894722e-06,45.010978403100566,3.175785708981894
HAR,RAND_FC9_S0,RAND,9.0,random,10,0.7003581728361644,0.19687609180022028,8.341458540029115e-06,1.1314079457083446e-06,44.107139317318996,3.0959351585962933
HAR,RAND_FC9_S1,RAND,9.0,random,10,0.8575818961640801,0.22910107313768827,1.0668617472924344e-05,1.5818246533575682e-06,44.516645614026864,3.1206530302223072
HAR,RAND_FC9_S2,RAND,9.0,random,10,0.9484808395856683,0.2364875458162473,1.1849676027662775e-05,1.7400929018784615e-06,45.25664977290443,3.2338474058994375
HAR,SHIFTWIN_FC6_O1,SHIFTWIN,6.0,contiguous,10,1.075692367476748,0.25352796699075414,1.3488346052776233e-05,1.9619363816037024e-06,45.27899302178095,3.259173769798916
HAR,SHIFTWIN_FC6_O3,SHIFTWIN,6.0,contiguous,10,1.227403779937978,0.28346052807090893,1.594003069857204e-05,2.4545534971366878e-06,45.81660349435541,3.3783619023068767
HAR,SHIFTWIN_FC6_O5,SHIFTWIN,6.0,contiguous,10,1.0892062241489064,0.2618221632645302,1.3867652325906643e-05,2.052147003397739e-06,45.121192414515974,3.2521779884525843
HAR,SHIFTWIN_FC9_O1,SHIFTWIN,9.0,contiguous,10,1.0854812132612577,0.26489624622398156,1.3968552776164132e-05,2.0299784930681746e-06,45.33774807044572,3.2715823150149514
HAR,SHIFTWIN_FC9_O3,SHIFTWIN,9.0,contiguous,10,1.0957238581746576,0.26461025771160324,1.4056641746326497e-05,2.0617601905013754e-06,45.40359563709849,3.2712858547776476
HAR,SHIFTWIN_FC9_O5,SHIFTWIN,9.0,contiguous,10,1.0906865636939085,0.26385778651923153,1.4004042555776123e-05,2.0444667404697756e-06,45.33673600479546,3.293828771624458
PM,COMP_COPRIME_FC6,COMP_COPRIME,6.0,modulo,10,0.0026469223202681942,0.005568271910264513,1.0283549008782675e-07,8.555412391288155e-08,41.52725201605678,2.6122752637459894
PM,COMP_COPRIME_FC9,COMP_COPRIME,9.0,modulo,10,0.003912682468645361,0.005039541809668775,1.450460553581776e-07,8.55246480707537e-08,41.37224482502257,2.4910817191057273
PM,COMP_NONCOPRIME_FC6,COMP_NONCOPRIME,6.0,modulo,10,-0.009571660223620014,0.005023137683895595,-3.980387624080347e-08,9.399459417857319e-08,41.08822864360293,2.496211924426337
PM,COMP_NONCOPRIME_FC9,COMP_NONCOPRIME,9.0,modulo,10,-0.006375191279199098,0.0034913885247737837,5.941713000052127e-09,8.083803800074721e-08,41.317756592619,2.4357710659153557
PM,CP,CP,10.0,core,10,0.5255003922248661,0.18406187179906813,8.295540283366604e-06,1.540461127245479e-06,41.253387031873494,2.5512368884910708
PM,CP_FC3,CP_FC,3.0,capacity,10,-0.039641866077262354,0.03565054267677398,-4.008720836138412e-07,4.5187423553879553e-07,40.455178555601215,2.168270489511013
PM,CP_FC6,CP_FC,6.0,capacity,10,0.46876554095046546,0.15963571661204187,5.902703041542226e-06,1.144570435217073e-06,41.63160701208829,2.62908612257249
PM,CP_FC9,CP_FC,9.0,capacity,10,0.5303507601444523,0.18444332751234774,7.815304525064708e-06,1.4531914038802186e-06,41.27490563658133,2.5714432488955246
PM,CRS_FC3_S0,CRS,3.0,random,10,0.39559782000198174,0.06283543040625372,5.408617948237395e-06,1.1391786919701775e-06,42.99257762656245,2.50476509712067
PM,CRS_FC3_S1,CRS,3.0,random,10,-0.16012549122110004,0.050124181903382255,-1.884622228984574e-06,3.316123473621421e-07,39.534379470692386,1.9505073363054752
PM,CRS_FC3_S2,CRS,3.0,random,10,0.24259968299529316,0.04573272962826783,3.2619806925250115e-06,7.066869464288759e-07,42.2746347304405,2.4084553462599048
PM,CRS_FC6_S0,CRS,6.0,random,10,0.457141122423104,0.08055497011644124,6.520761739509188e-06,1.3318401331693963e-06,43.10716802679157,2.526213675085477
PM,CRS_FC6_S1,CRS,6.0,random,10,0.17373928524674132,0.04740262037387372,3.3407773494012642e-06,8.466459103088776e-07,41.53390510530342,2.1928748811738332
PM,CRS_FC6_S2,CRS,6.0,random,10,0.27479553177211286,0.05472915724132098,3.978697602730949e-06,9.074804492358408e-07,42.02145505691535,2.3345351200899613
PM,CRS_FC9_S0,CRS,9.0,random,10,0.44824882508394265,0.08256239029070363,6.472201496597237e-06,1.3337094692017778e-06,42.989396695662506,2.541987543604618
PM,CRS_FC9_S1,CRS,9.0,random,10,0.15508341787880336,0.05499194438778238,3.127543974664749e-06,7.746546238834199e-07,41.3085240275319,2.197501707806573
PM,CRS_FC9_S2,CRS,9.0,random,10,0.3277560779633505,0.058740612542632464,4.521557410507788e-06,9.12869594476514e-07,43.1414178738419,2.5969115590601937
PM,EQWIN_FC3,EQWIN,3.0,capacity,10,0.40624468936853175,0.0675462647831755,5.760394345605928e-06,1.1363815405913253e-06,42.9135824699613,2.4835718322909535
PM,EQWIN_FC6,EQWIN,6.0,capacity,10,0.464565773010175,0.0853261305972447,6.686844724394251e-06,1.3411332553749578e-06,42.984183560239764,2.500632181637717
PM,EQWIN_FC9,EQWIN,9.0,capacity,10,0.4630787236440746,0.09018616134973222,6.743591542989121e-06,1.4194363470948674e-06,42.973908950641295,2.545253499113452
PM,EWMA,EWMA,,external,10,-11.530582095204418,1.3405747563788024,-0.0003804054555698319,5.1431431356569126e-05,26.36111087931812,0.7364838955245542
PM,GARCH11,GARCH11,,external,10,-17.640833521394757,2.4151778244450033,-0.0004709372699829282,6.814374228504083e-05,21.95211443912638,0.9564150037766952
PM,HAR,HAR,0.0,core,10,-0.7647970299841713,0.20997776830887263,-9.229388820440997e-06,1.3195484464569434e-06,39.47427616433548,1.8464997188354653
PM,HARQ,HARQ,4.0,external,10,-0.424701903415595,0.10762056119224694,-0.00360157508286673,0.003476232878653858,40.751833119957936,2.2950561595959833
PM,HAR_TCJ,HAR_TCJ,,external,10,-0.7593553773691792,0.47588445581960326,-1.5262204672422975e-05,6.7935162733309835e-06,43.61638249539032,1.7449919142306163
PM,PM_FC3,PM_FC,3.0,capacity,10,0.004899131579466123,0.0051205203731025245,1.356124558876226e-07,2.9476997547748985e-08,41.412022093898685,2.510547750995553
PM,PM_FC6,PM_FC,6.0,capacity,10,0.0030104299166252746,0.0024261285853746342,9.9005416170366e-08,2.1042575371727515e-08,41.61860243350592,2.5338818522972604
PM,PM_FC9,PM_FC,9.0,capacity,10,0.0015615698563694988,0.0004896945202031898,2.199965851064139e-08,1.2039810923217082e-08,38.06240309236115,6.319929159756702
PM,PREFIX_FC3,PREFIX,3.0,capacity,10,0.4300773352214396,0.07578895867489596,5.8639362992175066e-06,1.2543271279627006e-06,43.005777130583,2.539872694212454
