model_name,condition,n_obs,mean_advantage_vs_CP,standard_error,ci_low_approx,ci_high_approx,p_value_mean_advantage_gt_0,asset_sign_count,number_of_assets_positive,number_of_assets,inference_method,fdr_adjusted_p_value
CP_REPO_LRPM,same_average_recent_front_loaded,14331,-0.08930982702841657,0.07859009004491041,-0.243346403516441,0.06472674945960784,0.8721055317151902,0,5,10,normal_approx_row_se,1.0
CP_REPO_LRPM,same_average_back_loaded,15559,-0.1075535070897266,0.07068668896179964,-0.24609941745485386,0.03099240327540069,0.9359393742824591,-2,4,10,normal_approx_row_se,1.0
CP_REPO_LRPM,stable_low_dispersion,68968,-0.37950699922477865,0.04013551440319421,-0.4581726074550393,-0.300841390994518,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,all_observations,367248,-0.2097970759336908,0.01466596559311306,-0.2385423684961924,-0.18105178337118918,1.0,-2,4,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,cluster_entry_loose,73457,0.2526604924332617,0.03707939887238064,0.17998487064339566,0.3253361142231278,4.744778074777956e-12,4,7,10,normal_approx_row_se,5.377415151415017e-11
CP_REPO_RECENT_SLOPE,cluster_entry_strict,73266,0.25427306266275523,0.03707952241857409,0.18159719872235003,0.32694892660316044,3.5036440859127714e-12,4,7,10,normal_approx_row_se,4.1434399624707555e-11
CP_REPO_RECENT_SLOPE,cluster_exit_loose,73455,-0.7110504051681719,0.03373124718492004,-0.7771636496506151,-0.6449371606857286,1.0,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,cluster_exit_strict,73334,-0.7108902299405877,0.033760903126088426,-0.7770616000677211,-0.6447188598134543,1.0,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,inflection_points,144886,-0.2702712041345974,0.024713694798343278,-0.3187100459393502,-0.22183236232984455,1.0,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,high_within_block_dispersion,68970,-0.14901057497506623,0.04309486575695317,-0.23347651185869445,-0.06454463809143801,0.9997276303506595,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,recent_spike_position,125358,0.12994305798616818,0.023728074677853348,0.08343603161757562,0.17645008435476073,2.1710374532820147e-08,4,7,10,normal_approx_row_se,1.514159454596687e-07
CP_REPO_RECENT_SLOPE,older_spike_position,108871,-0.35975697069575935,0.024501871647476737,-0.40778063912481377,-0.3117333022667049,1.0,-4,3,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,same_average_different_path,7396,-0.3011843598213615,0.08458900832078334,-0.46697881613009684,-0.13538990351262614,0.9998149686338065,-6,2,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,recent_ramp_high_dispersion,24273,0.964282227999836,0.07891357286859758,0.8096116251773847,1.1189528308222871,1.2233365276087615e-34,4,7,10,normal_approx_row_se,3.697194838995368e-33
CP_REPO_RECENT_SLOPE,entry_with_recent_spike,43747,0.3910175265442483,0.043592142811729476,0.3055769266332585,0.4764581264552381,1.4838060745331302e-19,6,8,10,normal_approx_row_se,2.1241855382790074e-18
CP_REPO_RECENT_SLOPE,entry_without_recent_spike,29710,0.048934300199894795,0.06544051226442521,-0.07932910383837861,0.17719770423816822,0.22730014922127553,2,6,10,normal_approx_row_se,0.8354816295700939
CP_REPO_RECENT_SLOPE,same_average_recent_front_loaded,14331,0.04939384495331365,0.07442550409366232,-0.0964801430702645,0.1952678329768918,0.25345132845039725,-2,4,10,normal_approx_row_se,0.9191834845134408
CP_REPO_RECENT_SLOPE,same_average_back_loaded,15559,-0.5961763803406914,0.050662077623228094,-0.6954740524822185,-0.49687870819916435,1.0,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RECENT_SLOPE,stable_low_dispersion,68968,-0.3049553520172287,0.032689908891481,-0.3690275734445314,-0.24088313058992594,1.0,0,5,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,all_observations,367248,-0.25412261015572735,0.020550919012722945,-0.2944024114206643,-0.21384280889079038,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,cluster_entry_loose,73457,0.21652278038212214,0.039331335963464296,0.13943336189373212,0.29361219887051215,1.8448357472217588e-08,6,8,10,normal_approx_row_se,1.32051400853768e-07
CP_REPO_HAAR_SHAPE,cluster_entry_strict,73266,0.21056766833617221,0.03921390828283506,0.1337084081018155,0.28742692857052893,3.9429710299202083e-08,6,8,10,normal_approx_row_se,2.681220300345742e-07
CP_REPO_HAAR_SHAPE,cluster_exit_loose,73455,-0.8487454579024053,0.05571427785050152,-0.9579454424893883,-0.7395454733154223,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,cluster_exit_strict,73334,-0.8502018837464509,0.055787460410201946,-0.9595453061504468,-0.740858461342455,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,inflection_points,144886,-0.2875694768395069,0.03261658519346978,-0.35149798381870767,-0.22364096986030613,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,high_within_block_dispersion,68970,-0.3281382537957486,0.06285391842567235,-0.45133193391006643,-0.20494457368143082,0.9999999108514627,-4,3,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,recent_spike_position,125358,0.11124436975134576,0.029862589032974056,0.05271369524671661,0.1697750442559749,9.757693547445734e-05,6,8,10,normal_approx_row_se,0.00047394511516164994
CP_REPO_HAAR_SHAPE,older_spike_position,108871,-0.5495220966523896,0.04228041209133365,-0.6323917043514036,-0.46665248895337563,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,same_average_different_path,7396,0.4384771905625437,0.1045414161335457,0.23357601494079414,0.6433783661842932,1.3686279625790537e-05,8,9,10,normal_approx_row_se,7.746297107777357e-05
CP_REPO_HAAR_SHAPE,recent_ramp_high_dispersion,24273,0.9490482714357931,0.07344342088195964,0.8050991665071522,1.0929973763644338,1.687465534355841e-38,6,8,10,normal_approx_row_se,5.73738281680986e-37
CP_REPO_HAAR_SHAPE,entry_with_recent_spike,43747,0.5302787578213181,0.04841995177806346,0.4353756523363137,0.6251818633063224,3.2621122568094595e-28,8,9,10,normal_approx_row_se,6.337818098944093e-27
CP_REPO_HAAR_SHAPE,entry_without_recent_spike,29710,-0.24547259979399721,0.06604175980508119,-0.37491444901195636,-0.1160307505760381,0.999899170865987,-4,3,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,same_average_recent_front_loaded,14331,-0.1346236627139174,0.0830959636095185,-0.29749175138857364,0.028244425960738867,0.9473944618005029,-4,3,10,normal_approx_row_se,1.0
CP_REPO_HAAR_SHAPE,same_average_back_loaded,15559,-0.0748772003740857,0.07917130128369994,-0.23005295089013755,0.08029855014196617,0.8278649789175105,-2,4,10,normal_approx_row_se,1.0
