model_name,condition,n_obs_total,n_assets,corr_cp_residual_delta_equal_weight,mean_delta_pooled,std_delta_equal_weight,mean_2e_delta_pooled,mean_delta_squared_pooled,ratio_2Eedelta_over_Edelta2_pooled,actual_smape_advantage_pooled,win_rate_vs_cp_pooled,assets_positive_smape_advantage
CP_REPO_LRPM,stable_low_dispersion,68968,10,0.0018267395022788,4702708.18783209,403471091.9514419,-5765.70918856059,1.628855530758186e+18,-3.539730245982476e-15,-14.19213051831189,0.3767834357963113,0
CP_REPO_RECENT_SLOPE,all_rows,367468,10,0.0496535586489351,1.125675414950938e-08,6.519582984386444e-05,9.731067056524629e-09,4.785625907237794e-09,2.033394846389337,-0.2128292586147126,0.4133149008893291,4
CP_REPO_RECENT_SLOPE,all_observations,367248,10,0.0498291684447351,2.089712056483525e-08,6.510973312872387e-05,9.758262811397224e-09,4.773974190117148e-09,2.0440543712193318,-0.2097970725498508,0.4134045658519583,4
CP_REPO_RECENT_SLOPE,cluster_entry_loose,73457,10,0.0881849908373473,-1.141186158150977e-05,9.108440839952662e-05,2.6386173737186543e-08,1.0164204231264356e-08,2.5959901175563336,0.252660497886049,0.4600922988959527,7
CP_REPO_RECENT_SLOPE,cluster_entry_strict,73266,10,0.0881899641784787,-1.138845204266687e-05,9.117399637133412e-05,2.6433197904525807e-08,1.0182497059816166e-08,2.595944565389644,0.2542730682226999,0.4600769797723364,7
CP_REPO_RECENT_SLOPE,cluster_exit_loose,73455,10,0.020428197016998,2.6721431924817307e-05,6.661057503416624e-05,7.130686622697962e-09,6.019869768713251e-09,1.184525063940403,-0.7110504142531575,0.3686066299094684,1
CP_REPO_RECENT_SLOPE,cluster_exit_strict,73334,10,0.0204792133137189,2.678304801255309e-05,6.661901698998333e-05,7.145221450285045e-09,6.024563218355051e-09,1.1860148514195492,-0.7108902390201928,0.3687375569313006,1
CP_REPO_RECENT_SLOPE,inflection_points,144886,10,0.05133375236936,6.903885048378291e-06,7.550787094239936e-05,1.3648274457992469e-08,6.71834313571366e-09,2.0314941023837223,-0.2702712006636322,0.4308835912372486,1
CP_REPO_RECENT_SLOPE,high_within_block_dispersion,68970,10,0.0994913837949243,-1.4906485734849885e-06,9.732858162707574e-05,2.451995613210393e-08,1.1257266382051522e-08,2.178144791101178,-0.1490105644283049,0.3673336233144845,1
CP_REPO_RECENT_SLOPE,recent_spike_position,125358,10,0.080203170608899,-1.2837764058374264e-05,6.560928052805577e-05,1.4428768647980718e-08,5.0468674368269324e-09,2.8589553477656584,0.1299430609179207,0.4123071523157676,7
