asset,model_name,check,value,threshold,passed
TLT,SPECTRAL_RANDOM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
TLT,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,6.106226635438361e-16,1e-12,True
TLT,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
TLT,CONTIGUOUS_CAST_D,cp_quotient_annihilation,8.555495334505978e-19,1e-10,True
TLT,CONTIGUOUS_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
TLT,CONTIGUOUS_CAST_D,fast_scalar_equivalence,8.187894806610529e-16,1e-12,True
TLT,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
TLT,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
TLT,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
TLT,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
TLT,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
TLT,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
TLT,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
TLT,PM_CAST_D,timestamp_unique,0.0,0.0,True
TLT,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,2.8160488472309056e-15,1e-10,True
TLT,CONTIGUOUS_CAST_D,singular_spectrum_match,5.937164264772714e-17,1e-10,True
TLT,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
